编号,提醒语音,经度,纬度,站前里程,外音开否
0,转弯提醒,10901.9411,3420.8141,30,
1,转弯提醒,10858.0346,3419.8792,30,
2,转弯提醒,10858.0099,3420.2751,30,
3,转弯提醒,10857.6654,3420.305,30,
4,转弯提醒,10857.629,3419.907,30,
5,转弯提醒,10856.2913,3419.8853,30,
6,转弯提醒,10856.5423,3418.8462,30,
7,转弯提醒,10855.1836,3418.7024,30,
8,转弯提醒,10855.4867,3418.6762,30,
9,转弯提醒,10855.694,3417.2736,30,
10,转弯提醒,10855.7126,3417.1865,30,
11,转弯提醒,10855.3266,3417.1815,30,
12,转弯提醒,10855.3022,3417.0676,30,
13,转弯提醒,10855.6092,3417.3228,30,
