"站台编号",报站语音,站名,经度,纬度,角度,进站广告,出站广告,进站提示,出站提示,进站扩展,出站扩展,限速,站前里程,是否大站,外音开否
0,汉能,汉能,11405.9584,2241.2982,344,,,,,,,38,40,起点站,是
1,旦祥村,旦祥村,11405.9246,2241.4351,31,龙骧巴士,,,1转,,,38,20,小站,是
2,廉村,廉村,11405.9672,2241.5024,29,龙骧巴士,,,,,扒手用语,38,20,小站,是
3,科技二路,科技二路,11406.0246,2241.5937,35,龙骧巴士,,,2转2,,,38,10,小站,是
4,卸冈,卸冈,11406.006,2241.5683,210,龙骧巴士,,,,,行驶用语,38,20,小站,是
5,腾飞建材,腾飞建材,11405.954,2241.4862,210,龙骧巴士,,,3转,,,38,20,小站,是
6,冲表,冲表,11405.8805,2241.4818,335,龙骧巴士,,,,,让座用语,38,20,小站,是
7,城西出口,城西出口,11405.7863,2241.6693,339,龙骧巴士,,,4转,,,38,20,小站,是
8,牛围,牛围,11405.7928,2242.0316,23,龙骧巴士,,,,,卫生用语,38,20,小站,是
9,两阳中学,两阳中学,11405.8642,2242.7026,336,龙骧巴士,,,,,,38,30,终点站,是

