"编号",提醒语音,经度,纬度,站前里程,外音开否
0,转弯提醒,114.099168,22.687540,30,
1,转弯提醒,108.967243,34.331320,30,
2,转弯提醒,108.966832,34.337918,30,
3,转弯提醒,108.961090,34.338417,30,
4,转弯提醒,108.960483,34.331783,30,
5,转弯提醒,108.938188,34.331422,30,
6,转弯提醒,108.942372,34.314103,30,
7,转弯提醒,108.919727,34.311707,30,
8,转弯提醒,108.924778,34.311270,30,
9,转弯提醒,108.928233,34.287893,30,
10,转弯提醒,108.928543,34.286442,30,
11,转弯提醒,108.922110,34.286358,30,
12,转弯提醒,108.921703,34.284460,30,
13,转弯提醒,108.926820,34.288713,30,

