"站台编号",报站语音,站名,经度,纬度,角度,进站广告,出站广告,进站提示,出站提示,进站扩展,出站扩展,限速,站前里程,是否大站,外音开否
0,xgdz,孝感东站,11356.5846,3056.2351,N,,支付宝语音,,,,,30,5,起点站,否
1,xgdzck,孝感东站出口,11356.6903,3056.2495,N,,消防语音,,,,,50,10,小站,否
2,dylxhddk,董永路孝汉大道口,11356.7752,3055.9019,N,,,,,,,50,25,小站,否
3,bhtd,滨湖天地,11356.8532,3055.4968,N,,支付宝语音,,,,,50,25,小站,否
4,smzj,市民之家,11356.8964,3055.2788,N,,消防语音,,,,,50,25,小站,否
5,dylkxzzx,董永路口行政中心,11356.8772,3055.1189,N,,,,,,,50,25,小站,否
6,qkgw,乾坤购物,11356.3068,3055.1746,N,,支付宝语音,,,,,50,25,小站,否
7,htyy,航天医院,11355.9359,3055.1683,N,,消防语音,,,,,50,25,小站,否
8,bjel,北京二路,11355.9112,3054.9723,N,,,,,,,50,25,小站,否
9,bjyl,北京一路,11355.895,3054.8505,N,,支付宝语音,,,,,50,25,小站,否
10,zjw,翟家湾,11355.8788,3054.7272,N,,消防语音,,,,,50,25,小站,否
11,xalbxj,香澳路步行街,11355.6822,3054.7042,N,,,,,,,50,25,小站,否
12,kyzx,客运中心,11355.4202,3054.8224,N,,支付宝语音,,,,,50,25,小站,否
13,xngaj,孝南公安局,11355.2214,3054.9464,N,,消防语音,,,,,50,25,小站,否
14,czltzgjjd,长征路天紫国际酒店,11355.0466,3055.0521,N,,,,,,,50,25,小站,否
15,ddmsyczyy,大东门商业城中医院,11354.8856,3055.1482,N,,支付宝语音,,,,,50,25,小站,否
16,dygy,董永公园,11354.7041,3055.2607,N,,消防语音,,,,,50,25,小站,否
17,bmktzj,北门口台子街,11354.5861,3055.3216,N,,,,,,,50,25,小站,否
18,hhqfybjy,后湖区妇幼保健院,11354.3758,3055.3622,N,,支付宝语音,,,,,50,25,小站,否
19,aeykhljx,爱尔眼科合力驾校,11354.1062,3055.3931,N,,消防语音,,,,,50,25,小站,否
20,yjxsyjwsy,一技校书院街卫生院,11353.8116,3055.4188,N,,,,,,,50,25,小站,否
21,xdscwy,西大市场汪窑,11353.6241,3055.447,N,,支付宝语音,,,,,50,5,终点站,否

