站台编号,报站语音,站名,经度,纬度,角度,进站广告,出站广告,进站提示,出站提示,进站扩展,出站扩展,限速,站前里程,是否大站,外音开否
0,丰禾路,丰禾路,10855.0684,3417.1089,357,,,,,,,50,50,起点站,是
1,兴中路,兴中路,10855.3005,3417.1777,95,,,,,,,50,20,小站,是
2,工农北口,工农路北口,10855.7325,3417.2073,355,,,,,,,50,20,小站,是
3,永新南口,永新路南口,10855.6267,3417.3309,6,,,,,,,50,20,小站,是
4,永新路口,龙首北路永新路,10855.6335,3417.6106,12,,,,,,,50,20,小站,是
5,方新路口,明光路方新路口,10855.6286,3418.0306,5,,,,,,,50,20,小站,是
6,明光立交,北二环明光路立,10855.5492,3418.3693,329,,,,,,,50,20,小站,是
7,中联家居,中联家居,10855.6031,3418.6817,90,,,,,,,50,20,小站,是
8,文景立交,文景路立交,10855.863,3418.6817,93,,,,,,,50,20,小站,是
9,城北客运,城北客运站,10856.132,3418.6863,89,,,,,,,50,20,大站,是
10,雅荷花园,雅荷花园,10856.5589,3418.9809,14,,,,,,,50,20,小站,是
11,图书馆,图书馆,10856.5582,3419.2102,354,,,,,,,50,20,小站,是
12,尤家庄,尤家庄,10856.5663,3419.7396,1,,,,,,,50,20,小站,是
13,未央路口,凤城五路未央路,10856.6185,3419.8788,87,,,,,,,50,20,大站,是
14,开元路口,凤城五路开元路,10856.9697,3419.8758,90,,,,,,,50,20,小站,是
15,兴乐园小,兴乐园小区,10857.2433,3419.8778,92,,,,,,,50,20,小站,是
16,凤五路口,渭宾路凤城五路,10857.5016,3419.8779,88,,,,,,,50,20,小站,是
17,长青二路,渭滨路常青二路,10857.6522,3420.049,4,,,,,,,50,20,小站,是
18,长青一路,渭滨路常青一路,10857.6484,3420.2419,359,,,,,,,50,20,小站,是
19,十一中学,市第十一中学,10857.8424,3420.3007,92,,,,,,,50,20,小站,是
20,三家庄,三家庄,10857.994,3420.0743,180,,,,,,,50,20,小站,是
21,百花村,百花村,10858.0717,3419.8635,97,,,,,,,50,20,大站,是
22,永城路西,永城路西段,10858.3718,3419.8542,92,,,,,,,50,20,小站,是
23,永城路东,永城路东段,10858.8481,3419.8447,91,,,,,,,50,20,小站,是
24,汽配北门,大明汽配城北门,10859.1109,3419.8425,94,,,,,,,50,20,小站,是
25,大明汽配,大明汽配城,10859.5645,3419.8342,90,,,,,,,50,20,大站,是
26,赵村西,赵村西,10859.7876,3419.8523,77,,,,,,,50,20,小站,是
27,赵村,赵村,10900.0178,3419.8948,92,,,,,,,50,20,小站,是
28,浐河西路,浐河西路,10900.6943,3419.9047,69,,,,,,,50,20,小站,是
29,欧亚浐东,欧亚浐河东路,10900.9499,3420.0475,48,,,,,,,50,20,大站,是
30,宋围村,宋围村,10901.6315,3420.6101,69,,,,,,,50,20,小站,是
31,上桥梓口,上桥梓口村,10902.0782,3420.7545,113,,,,,,,50,20,小站,是
32,奥特莱斯,砂之船奥特莱斯,10902.3254,3420.6682,113,,,,,,,50,20,小站,是
33,康家村,康家村,10902.5633,3420.4928,163,,,,,,,50,20,小站,是
34,黄邓村,黄邓村,10902.7436,3420.1835,120,,,,,,,50,20,小站,是
35,世博锦绣,世博园锦绣门,10903.132,3420.1216,96,,,,,,,50,20,小站,是
36,读书村北,读书村北,10903.7391,3419.6744,154,,,,,,,50,20,小站,是
37,世博园得,世博园得宝门,10904.03,3419.244,129,,,,,,,50,20,小站,是
38,灞桥车场,灞桥停车场,10904.2261,3419.1173,137,,,,,,,50,50,终点站,是
