编号,提醒语音,经度,纬度,站前里程,外音开否
0,转弯提醒,,,30,
1,转弯提醒,,,30,
2,转弯提醒,,,30,
3,转弯提醒,,,30,
4,转弯提醒,,,30,
5,转弯提醒,,,30,
6,转弯提醒,,,30,
7,转弯提醒,,,30,
8,转弯提醒,,,30,
9,转弯提醒,,,30,
10,转弯提醒,,,30,
11,转弯提醒,,,30,
12,转弯提醒,,,30,
13,转弯提醒,,,30,
